,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
0,Boston Celtics*,82,241.2,33.8,77.7,.434,5.4,15.9,.340,28.4,61.8,.459,18.2,24.1,.756,10.5,29.1,39.6,18.7,7.0,4.4,15.4,20.2,91.1,2011
1,Chicago Bulls*,82,241.8,34.2,79.5,.430,5.2,16.0,.326,29.0,63.6,.456,17.7,23.1,.764,10.1,28.3,38.4,19.0,6.9,5.8,14.1,20.1,91.3,2011
2,Milwaukee Bucks,82,241.8,34.6,77.3,.447,5.3,16.0,.334,29.2,61.4,.476,18.3,23.7,.770,10.2,32.1,42.3,20.2,6.2,4.8,15.2,20.7,92.7,2011
3,Orlando Magic*,82,241.8,34.9,80.1,.436,6.3,18.0,.350,28.6,62.1,.461,17.6,23.7,.743,9.8,29.9,39.7,20.1,7.4,3.8,13.9,21.8,93.7,2011
4,New Orleans Hornets*,82,241.8,35.1,76.9,.457,6.8,19.0,.357,28.4,57.9,.490,17.0,22.0,.770,9.4,30.0,39.3,21.2,6.1,4.8,14.5,20.4,94.0,2011
5,Miami Heat*,82,241.2,35.0,80.7,.434,6.7,19.3,.345,28.3,61.3,.462,18.0,24.1,.744,10.5,28.6,39.2,20.1,7.0,3.0,13.2,21.8,94.6,2011
6,Portland Trail Blazers*,82,241.5,35.4,75.8,.467,6.5,17.6,.367,29.0,58.3,.497,17.5,22.8,.767,10.6,29.1,39.7,19.2,6.9,4.1,15.7,21.3,94.8,2011
7,Los Angeles Lakers*,82,241.8,36.7,84.0,.437,6.8,20.3,.335,29.9,63.7,.469,15.2,19.9,.765,12.2,29.3,41.5,22.3,7.1,4.5,13.6,20.7,95.4,2011
8,Atlanta Hawks*,82,240.6,36.7,79.7,.460,5.6,16.6,.338,31.1,63.2,.492,16.8,21.7,.774,10.2,30.3,40.6,21.4,6.7,4.2,12.5,18.5,95.8,2011
9,Dallas Mavericks*,82,240.3,36.5,81.2,.450,6.2,18.0,.343,30.3,63.1,.481,16.7,22.3,.750,10.7,30.0,40.7,20.6,7.6,3.7,13.6,20.1,96.0,2011
10,Charlotte Bobcats,82,241.5,36.0,79.2,.455,7.0,19.6,.359,29.0,59.5,.487,18.2,23.3,.780,9.8,29.8,39.6,21.7,7.3,6.0,13.2,21.1,97.3,2011
11,Philadelphia 76ers*,82,243.0,36.5,81.0,.451,5.7,16.8,.340,30.8,64.2,.480,18.7,24.2,.773,10.7,31.8,42.5,21.5,7.1,4.6,14.2,18.8,97.5,2011
12,Memphis Grizzlies*,82,242.4,36.2,79.1,.457,7.2,19.4,.369,29.0,59.7,.486,18.1,23.8,.761,11.0,29.1,40.1,21.0,7.5,6.2,16.7,21.4,97.6,2011
13,San Antonio Spurs*,82,241.2,38.1,83.7,.456,5.8,15.9,.367,32.3,67.7,.477,15.9,20.7,.766,10.8,30.4,41.2,20.5,6.9,4.6,13.4,20.7,98.0,2011
14,New Jersey Nets,82,244.0,37.4,80.5,.465,6.2,17.0,.364,31.2,63.5,.492,19.4,25.8,.751,10.4,31.4,41.8,22.2,6.8,4.6,12.3,20.0,100.4,2011
15,,,,,,,,,,,,,,,,,,,,,,,,,2011
