,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
29,Utah Jazz,1-1,1-1,,0-2,0-2,2-2,2-2,2-0,2-2,2-2,2-0,3-0,1-2,0-2,1-1,3-1,1-1,1-1,0-2,2-0,2-2,2-2,4-0,0-3,,2-0,,,1-1,2009,48,34,.585,6.0,103.6,100.9,2.31,2009,Utah Jazz,1,4-0,3-0,1-1,,3-1,,,
30,Washington Wizards,0-4,0-3,,1-3,2-2,0-2,0-2,1-3,1-1,1-1,1-2,1-1,0-2,0-4,0-3,2-0,2-2,1-3,0-4,0-4,0-2,0-2,2-0,0-2,,1-2,1-1,,,2009,19,63,.232,40.0,96.1,103.5,-6.98,2009,Washington Wizards,0,0-2,0-2,1-3,,1-1,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,4-0,,3-1,1-3,1-1,1-1,2-2,1-1,2-0,3-0,2-0,1-1,1-3,2-1,2-0,3-0,1-3,1-3,2-1,1-1,2-0,2-0,1-1,,3-1,2-0,,4-0,2010,53,29,.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks,1,2-0,1-1,2-2,,0-2,,,
1,Boston Celtics,0-4,,,2-2,2-2,1-1,1-1,2-1,1-1,1-1,2-1,1-1,1-1,3-0,2-2,2-0,3-1,3-1,1-3,3-1,0-2,2-0,2-0,1-1,,4-0,1-1,,3-1,2010,50,32,.610,—,99.2,95.6,3.37,2010,Boston Celtics,1,1-1,1-1,3-0,,1-1,,,
2,Charlotte Bobcats,2-2,0-3,,1-3,3-1,0-2,1-1,2-1,2-0,1-1,1-2,1-1,1-1,3-1,2-2,2-0,2-2,2-2,1-3,3-1,2-0,0-2,2-0,1-1,,1-2,0-2,,4-0,2010,44,38,.537,15.0,95.3,93.8,1.30,2010,Charlotte Bobcats,1,2-0,1-1,,,1-1,,,
3,Chicago Bulls,1-3,2-2,,,2-2,0-2,0-2,4-0,1-1,2-0,3-1,0-2,0-2,1-3,1-3,2-0,1-2,3-1,1-2,3-1,1-1,1-1,1-1,2-0,,1-2,0-2,,2-1,2010,41,41,.500,20.0,97.5,99.1,-1.64,2010,Chicago Bulls,1,0-2,2-0,3-1,,1-1,,,
4,Cleveland Cavaliers,3-1,2-2,,2-2,,1-1,0-2,4-0,2-0,1-1,3-1,2-0,2-0,3-0,3-1,2-0,4-0,3-0,2-2,3-0,2-0,2-0,2-0,1-1,,3-1,1-1,,2-1,2010,61,21,.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers,1,1-1,2-0,1-3,,2-0,,,
5,Dallas Mavericks,1-1,1-1,,2-0,1-1,,2-1,2-0,3-1,2-2,2-0,3-0,2-2,2-0,2-0,3-1,2-0,1-1,1-1,1-1,2-1,1-3,4-0,3-1,,1-1,1-2,,1-1,2010,55,27,.671,—,102.0,99.3,2.66,2010,Dallas Mavericks,1,3-1,2-2,2-0,,2-2,,,
6,Denver Nuggets,1-1,1-1,,2-0,2-0,1-2,,1-1,4-0,2-1,2-0,2-1,3-1,1-1,0-2,3-1,2-0,1-1,1-1,1-1,1-3,3-1,1-2,2-2,,2-0,3-1,,1-1,2010,53,29,.646,—,106.5,102.4,4.15,2010,Denver Nuggets,1,3-1,3-1,1-1,,3-1,,,
7,Detroit Pistons,2-2,1-2,,0-4,0-4,0-2,1-1,,1-1,1-1,0-4,0-2,0-2,1-2,2-2,2-0,2-1,1-3,1-3,3-1,0-2,0-2,1-1,1-1,,0-4,0-2,,4-0,2010,27,55,.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons,0,1-1,1-1,1-2,,0-2,,,
8,Golden State Warriors,1-1,1-1,,1-1,0-2,1-3,0-4,1-1,,0-3,1-1,2-2,0-4,0-2,0-2,3-0,2-0,2-0,0-2,0-2,1-3,2-2,2-2,0-3,,2-0,0-3,,0-2,2010,26,56,.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors,0,2-2,1-3,0-2,,1-3,,,
9,Houston Rockets,0-2,1-1,,0-2,1-1,2-2,1-2,1-1,3-0,,0-2,2-1,1-3,0-2,2-0,3-0,2-0,2-0,0-2,1-1,0-4,2-2,2-2,2-2,,1-1,2-2,,2-0,2010,42,40,.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets,0,4-0,1-3,1-1,,3-1,,,
10,Indiana Pacers,0-3,1-2,,1-3,1-3,0-2,0-2,4-0,1-1,2-0,,1-1,0-2,0-4,0-4,1-1,4-0,2-2,1-3,2-1,1-1,0-2,1-1,0-2,,2-2,1-1,,3-1,2010,32,50,.390,29.0,100.8,103.8,-3.11,2010,Indiana Pacers,0,0-2,0-2,2-1,,1-1,,,
11,Los Angeles Clippers,0-2,1-1,,2-0,0-2,0-3,1-2,2-0,2-2,1-2,1-1,,2-2,1-1,1-1,3-1,1-1,0-2,0-2,2-0,0-4,1-3,1-3,0-4,,0-2,1-3,,2-0,2010,29,53,.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers,0,2-2,0-4,1-1,,1-2,,,
12,Los Angeles Lakers,1-1,1-1,,2-0,0-2,2-2,1-3,2-0,4-0,3-1,2-0,2-2,,1-1,2-0,3-0,2-0,2-0,1-1,2-0,3-1,1-2,4-0,2-2,,1-1,3-1,,2-0,2010,57,25,.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers,1,2-1,2-1,1-1,,3-1,,,
13,Memphis Grizzlies,0-2,1-1,,2-0,1-1,1-3,1-3,1-1,2-2,0-4,2-0,2-2,1-2,1-1,0-2,3-1,2-0,2-0,1-1,1-1,2-2,2-2,2-1,2-2,,2-0,1-2,,2-0,2010,40,42,.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies,0,,2-2,0-2,,1-2,,,
14,Miami Heat,3-1,0-3,,3-1,0-3,0-2,1-1,2-1,2-0,2-0,4-0,1-1,1-1,,1-3,1-1,4-0,3-0,2-2,4-0,1-1,1-1,2-0,0-2,,2-2,1-1,,3-1,2010,47,35,.573,12.0,96.5,94.2,1.99,2010,Miami Heat,1,1-1,1-1,1-3,,0-2,,,
15,Milwaukee Bucks,1-2,2-2,,3-1,1-3,0-2,2-0,2-2,2-0,0-2,4-0,1-1,0-2,3-1,,2-0,4-0,3-0,0-3,2-2,1-1,1-1,1-1,0-2,,2-1,1-1,,2-2,2010,46,36,.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks,1,2-0,1-1,2-2,,1-1,,,
16,Minnesota Timberwolves,0-2,0-2,,0-2,0-2,1-3,1-3,0-2,0-3,0-3,1-1,1-3,0-3,1-1,0-2,,2-0,1-1,0-2,1-1,0-4,0-4,2-2,0-3,,0-2,2-2,,1-1,2010,15,67,.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves,0,1-3,0-4,0-2,,0-4,,,
17,New Jersey Nets,0-3,1-3,,2-1,0-4,0-2,0-2,1-2,0-2,0-2,0-4,1-1,0-2,0-4,0-4,0-2,,2-2,0-3,0-4,0-2,0-2,1-1,1-1,,0-4,0-2,,0-4,2010,12,70,.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets,0,0-2,1-1,2-2,,0-2,,,
18,New Orleans Hornets,1-1,1-1,,0-2,0-2,2-2,1-3,1-1,3-1,3-1,2-0,4-0,1-2,1-1,1-1,4-0,1-1,0-2,1-1,0-2,1-3,1-2,2-1,0-4,,0-2,1-3,,1-1,2010,37,45,.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets,0,2-2,,1-1,,1-2,,,
19,New York Knicks,3-1,1-3,,1-3,0-3,1-1,1-1,3-1,0-2,0-2,2-2,2-0,0-2,0-3,0-3,1-1,2-2,,0-3,3-1,1-1,1-1,0-2,0-2,,0-4,0-2,,3-1,2010,29,53,.354,21.0,102.1,105.9,-4.01,2010,New York Knicks,0,0-2,2-0,2-2,,0-2,,,
20,Oklahoma City Thunder,2-0,1-1,,1-1,0-2,2-2,1-3,2-0,3-1,1-3,1-1,2-1,1-3,2-0,1-1,4-0,2-0,2-0,1-1,2-0,2-1,1-3,3-1,1-3,,2-0,3-1,,2-0,2010,50,32,.610,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder,1,2-1,2-1,1-1,,,,,
21,Orlando Magic,3-1,3-1,,2-1,2-2,1-1,1-1,3-1,2-0,2-0,3-1,2-0,1-1,2-2,3-0,2-0,3-0,3-0,,4-0,1-1,1-1,2-0,1-1,,3-1,1-1,,2-2,2010,59,23,.720,—,102.8,95.3,7.12,2010,Orlando Magic,1,1-1,1-1,3-1,,1-1,,,
22,Philadelphia 76ers,1-2,1-3,,1-3,0-3,1-1,1-1,1-3,2-0,1-1,1-2,0-2,0-2,0-4,2-2,1-1,4-0,1-3,0-4,,0-2,1-1,2-0,1-1,,1-3,0-2,,0-3,2010,27,55,.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers,0,1-1,2-0,1-3,,0-2,,,
23,Phoenix Suns,1-1,2-0,,1-1,0-2,1-2,3-1,2-0,3-1,4-0,1-1,4-0,1-3,1-1,1-1,4-0,2-0,1-1,1-1,2-0,,1-2,4-0,2-1,,2-0,2-2,,2-0,2010,54,28,.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns,1,2-2,3-1,0-2,,1-2,,,
24,Portland Trail Blazers,0-2,0-2,,1-1,0-2,3-1,1-3,2-0,2-2,2-2,2-0,3-1,2-1,1-1,1-1,4-0,2-0,1-1,1-1,1-1,2-1,,4-0,3-0,,2-0,0-4,,1-1,2010,50,32,.610,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers,1,2-2,2-1,2-0,,3-1,,,
25,Sacramento Kings,0-2,0-2,,1-1,0-2,0-4,2-1,1-1,2-2,2-2,1-1,3-1,0-4,0-2,1-1,2-2,1-1,2-0,0-2,0-2,0-4,0-4,,0-4,,1-1,2-1,,1-1,2010,25,57,.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings,0,1-2,1-2,0-2,,1-3,,,
26,San Antonio Spurs,1-1,1-1,,0-2,1-1,1-3,2-2,1-1,3-0,2-2,2-0,4-0,2-2,2-0,2-0,3-0,1-1,2-0,1-1,1-1,1-2,0-3,4-0,,,1-1,0-4,,2-0,2010,50,32,.610,5.0,101.4,96.3,5.07,2010,San Antonio Spurs,1,2-2,4-0,1-1,,3-1,,,
27,Toronto Raptors,1-3,0-4,,2-1,1-3,1-1,0-2,4-0,0-2,1-1,2-2,2-0,1-1,2-2,1-2,2-0,4-0,4-0,1-3,3-1,0-2,0-2,1-1,1-1,,,0-2,,2-1,2010,40,42,.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors,0,0-2,2-0,2-1,,0-2,,,
28,Utah Jazz,0-2,1-1,,2-0,1-1,2-1,1-3,2-0,3-0,2-2,1-1,3-1,1-3,1-1,1-1,2-2,2-0,2-0,1-1,2-0,2-2,4-0,1-2,4-0,,2-0,,,2-0,2010,53,29,.646,—,104.2,98.9,5.33,2010,Utah Jazz,1,2-1,3-1,2-0,,1-3,,,
29,Washington Wizards,0-4,1-3,,1-2,1-2,1-1,1-1,0-4,2-0,0-2,1-3,0-2,0-2,1-3,2-2,1-1,4-0,1-3,2-2,3-0,0-2,1-1,1-1,0-2,,1-2,0-2,,,2010,26,56,.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards,0,0-2,1-1,0-4,,0-2,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Atlantic Division,0,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Central Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Southeast Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Northwest Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Pacific Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,1-2,,1-2,3-0,0-2,0-2,3-1,2-0,0-2,3-1,2-0,0-2,1-3,2-2,2-0,2-2,2-2,3-1,2-2,0-2,2-0,2-0,0-2,,3-0,1-1,,3-1,2011,44,38,.537,14.0,95.0,95.8,-1.10,2011,Atlanta Hawks,1,2-0,0-2,2-2,,0-2,,,
1,Boston Celtics,2-1,,,2-2,2-1,0-2,1-1,3-1,2-0,0-2,3-1,1-1,1-1,3-1,3-0,2-0,3-1,4-0,2-1,3-1,1-1,2-0,2-0,2-0,,3-1,2-0,,2-2,2011,56,26,.683,—,96.5,91.1,4.83,2011,Boston Celtics,1,1-1,1-1,2-2,,1-1,,,
2,Charlotte Bobcats,2-2,2-2,,2-2,2-1,0-2,1-1,2-2,1-1,1-1,0-4,0-2,1-1,0-4,1-2,2-0,3-1,1-2,0-4,1-2,2-0,1-1,2-0,0-2,,4-0,0-2,,2-2,2011,34,48,.415,24.0,93.3,97.3,-4.08,2011,Charlotte Bobcats,0,1-1,0-2,,,0-2,,,
3,Chicago Bulls,2-1,2-2,,,4-0,2-0,1-1,4-0,1-1,2-0,3-1,1-1,1-1,3-0,4-0,2-0,3-1,1-2,3-1,1-2,2-0,1-1,2-0,1-1,,3-1,2-0,,4-0,2011,62,20,.756,—,98.6,91.3,6.53,2011,Chicago Bulls,1,2-0,2-0,2-2,,1-1,,,
4,Cleveland Cavaliers,0-3,1-2,,0-4,,0-2,0-2,2-2,0-2,0-2,0-4,1-1,1-1,1-3,1-3,0-2,1-3,3-1,0-4,2-2,0-2,0-2,1-1,0-2,,1-2,0-2,,2-2,2011,19,63,.232,43.0,95.5,104.5,-8.88,2011,Cleveland Cavaliers,0,1-1,0-2,1-2,,0-2,,,
5,Dallas Mavericks,2-0,2-0,,0-2,2-0,,1-3,1-1,3-1,4-0,1-1,4-0,1-2,2-0,0-2,3-0,2-0,2-0,1-1,2-0,4-0,2-2,3-0,1-3,,1-1,4-0,,2-0,2011,57,25,.695,4.0,100.2,96.0,4.41,2011,Dallas Mavericks,1,1-3,2-2,2-0,,2-1,,,
6,Denver Nuggets,2-0,1-1,,1-1,2-0,3-1,,2-0,2-1,2-2,1-1,2-2,2-1,1-1,2-0,4-0,1-1,1-1,1-1,0-2,3-1,2-2,3-1,1-3,,2-0,2-2,,2-0,2011,50,32,.610,5.0,107.5,102.7,4.81,2011,Denver Nuggets,1,2-1,1-2,1-1,,1-3,,,
7,Detroit Pistons,1-3,1-3,,0-4,2-2,1-1,0-2,,1-1,0-2,2-2,1-1,0-2,0-4,3-1,0-2,2-2,1-2,1-2,2-1,1-1,0-2,2-0,0-2,,3-1,1-1,,2-1,2011,30,52,.366,32.0,97.0,100.6,-3.78,2011,Detroit Pistons,0,0-2,1-1,2-2,,0-2,,,
8,Golden State Warriors,0-2,0-2,,1-1,2-0,1-3,1-2,1-1,,1-3,1-1,2-2,1-3,0-2,1-1,3-1,1-1,1-1,1-1,1-1,0-4,3-1,2-2,0-4,,2-0,3-1,,2-0,2011,36,46,.439,21.0,103.4,105.7,-2.00,2011,Golden State Warriors,0,1-2,2-1,1-1,,1-2,,,
9,Houston Rockets,2-0,2-0,,0-2,2-0,0-4,2-2,2-0,3-1,,2-0,3-1,1-2,0-2,1-1,3-1,2-0,2-0,0-2,0-2,1-2,1-2,3-1,1-3,,1-1,2-1,,1-1,2011,43,39,.524,18.0,105.9,103.7,2.37,2011,Houston Rockets,0,3-1,1-3,1-1,,1-3,,,
10,Indiana Pacers,1-3,1-3,,1-3,4-0,1-1,1-1,2-2,1-1,0-2,,1-1,1-1,1-2,2-2,1-1,3-0,2-2,0-3,2-2,0-2,1-1,1-1,0-2,,2-1,0-2,,3-1,2011,37,45,.451,25.0,99.8,100.9,-1.38,2011,Indiana Pacers,1,0-2,1-1,4-0,,0-2,,,
11,Los Angeles Clippers,0-2,1-1,,1-1,1-1,0-4,2-2,1-1,2-2,1-3,1-1,,1-3,1-1,1-1,3-1,0-2,1-1,0-2,0-2,1-3,0-3,3-1,1-2,,1-1,0-3,,2-0,2011,32,50,.390,25.0,98.6,101.8,-2.71,2011,Los Angeles Clippers,0,2-2,1-2,2-0,,2-2,,,
12,Los Angeles Lakers,2-0,1-1,,1-1,1-1,2-1,1-2,2-0,3-1,2-1,1-1,3-1,,0-2,1-1,4-0,2-0,2-0,1-1,2-0,3-1,3-1,3-1,2-2,,2-0,2-2,,2-0,2011,57,25,.695,—,101.5,95.4,6.01,2011,Los Angeles Lakers,1,2-2,4-0,1-1,,2-1,,,
13,Memphis Grizzlies,0-2,1-1,,0-2,1-1,3-1,1-2,2-0,2-1,1-3,2-0,2-2,2-2,1-1,2-0,4-0,0-2,0-2,1-1,2-0,2-1,1-2,3-1,2-2,,2-0,2-2,,1-1,2011,46,36,.561,15.0,99.9,97.6,2.55,2011,Memphis Grizzlies,1,,2-2,1-1,,3-1,,,
14,Miami Heat,3-1,1-3,,0-3,3-1,0-2,1-1,4-0,2-0,2-0,2-1,1-1,2-0,,3-1,2-0,3-0,2-2,2-2,3-0,2-0,1-1,2-0,1-1,,4-0,1-1,,4-0,2011,58,24,.707,—,102.1,94.6,6.76,2011,Miami Heat,1,1-1,1-1,4-0,,1-1,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,
16,Milwaukee Bucks,2-2,0-3,,0-4,3-1,2-0,0-2,1-3,1-1,1-1,2-2,1-1,1-1,1-3,,1-1,3-0,3-1,1-3,2-2,0-2,0-2,1-1,0-2,,4-0,0-2,,2-1,2011,35,47,.427,27.0,91.9,92.7,-1.02,2011,Milwaukee Bucks,0,0-2,0-2,2-1,,1-1,,,
17,Minnesota Timberwolves,0-2,0-2,,0-2,2-0,0-3,0-4,2-0,1-3,1-3,1-1,1-3,0-4,0-2,1-1,,1-1,1-1,0-2,0-2,0-3,0-4,1-2,0-4,,1-1,1-3,,1-1,2011,17,65,.207,38.0,101.1,107.7,-5.97,2011,Minnesota Timberwolves,0,0-4,2-1,0-2,,0-4,,,
18,New Jersey Nets,2-2,1-3,,1-3,3-1,0-2,1-1,2-2,1-1,0-2,0-3,2-0,0-2,0-3,0-3,1-1,,0-4,0-4,0-4,0-2,1-1,1-1,0-2,,2-2,1-1,,1-2,2011,24,58,.293,32.0,94.2,100.4,-6.28,2011,New Jersey Nets,0,2-0,1-1,1-3,,0-2,,,
19,New Orleans Hornets,2-0,1-1,,0-2,2-0,2-2,2-1,1-1,1-2,3-1,1-1,2-1,0-4,1-1,2-0,1-2,1-1,0-2,2-0,1-1,3-1,3-1,3-1,2-2,,1-1,2-2,,2-0,2011,46,36,.561,15.0,94.9,94.0,1.28,2011,New Orleans Hornets,1,2-2,,2-0,,1-3,,,
20,New York Knicks,2-2,0-4,,2-1,1-3,0-2,1-1,2-1,1-1,0-2,2-2,1-1,0-2,2-2,1-3,1-1,4-0,,1-3,2-2,1-1,1-1,1-1,1-1,,4-0,1-1,,3-0,2011,42,40,.512,14.0,106.5,105.7,0.48,2011,New York Knicks,1,2-0,2-0,2-1,,1-1,,,
21,Oklahoma City Thunder,2-0,1-1,,1-1,2-0,1-2,3-1,2-0,2-1,3-1,2-0,2-2,1-2,1-1,1-1,4-0,2-0,1-1,1-1,2-0,3-1,3-1,4-0,0-3,,0-2,3-1,,2-0,2011,55,27,.671,—,104.8,101.0,3.81,2011,Oklahoma City Thunder,1,1-3,3-1,2-0,,,,,
22,Orlando Magic,1-3,1-2,,1-3,4-0,1-1,1-1,2-1,1-1,2-0,3-0,2-0,1-1,2-2,3-1,2-0,4-0,3-1,,3-1,2-0,0-2,1-1,1-1,,1-2,0-2,,4-0,2011,52,30,.634,6.0,99.2,93.7,4.92,2011,Orlando Magic,1,1-1,0-2,4-0,,1-1,,,
23,Philadelphia 76ers,2-2,1-3,,2-1,2-2,0-2,2-0,1-2,1-1,2-0,2-2,2-0,0-2,0-3,2-2,2-0,4-0,2-2,1-3,,2-0,1-1,1-1,1-1,,2-2,1-1,,2-2,2011,41,41,.500,15.0,99.0,97.5,1.01,2011,Philadelphia 76ers,1,0-2,1-1,2-1,,0-2,,,
24,Phoenix Suns,2-0,1-1,,0-2,2-0,0-4,1-3,1-1,4-0,2-1,2-0,3-1,1-3,0-2,2-0,3-0,2-0,1-1,0-2,0-2,,1-3,1-3,1-3,,2-0,3-0,,2-0,2011,40,42,.488,17.0,105.0,105.9,-0.46,2011,Phoenix Suns,0,1-2,1-3,0-2,,1-3,,,
25,Portland Trail Blazers,0-2,0-2,,1-1,2-0,2-2,2-2,2-0,1-3,2-1,1-1,3-0,1-3,1-1,2-0,4-0,1-1,1-1,2-0,1-1,3-1,,2-1,3-1,,2-0,3-1,,1-1,2011,48,34,.585,7.0,96.3,94.8,1.85,2011,Portland Trail Blazers,1,2-1,1-3,1-1,,1-3,,,
26,Sacramento Kings,0-2,0-2,,0-2,1-1,0-3,1-3,0-2,2-2,1-3,1-1,1-3,1-3,0-2,1-1,2-1,1-1,1-1,1-1,1-1,3-1,1-2,,0-3,,1-1,1-3,,1-1,2011,24,58,.293,33.0,99.4,104.7,-4.80,2011,Sacramento Kings,0,1-3,1-3,0-2,,0-4,,,
27,San Antonio Spurs,2-0,0-2,,1-1,2-0,3-1,3-1,2-0,4-0,3-1,2-0,2-1,2-2,1-1,2-0,4-0,2-0,1-1,1-1,1-1,3-1,1-3,3-0,,,2-0,3-0,,2-0,2011,61,21,.744,—,103.7,98.0,5.86,2011,San Antonio Spurs,1,2-2,2-2,2-0,,3-0,,,
28,Toronto Raptors,0-3,1-3,,1-3,2-1,1-1,0-2,1-3,0-2,1-1,1-2,1-1,0-2,0-4,0-4,1-1,2-2,0-4,2-1,2-2,0-2,0-2,1-1,0-2,,,0-2,,2-2,2011,22,60,.268,34.0,99.1,105.4,-6.28,2011,Toronto Raptors,0,0-2,1-1,0-4,,2-0,,,
29,Utah Jazz,1-1,0-2,,0-2,2-0,0-4,2-2,1-1,1-3,1-2,2-0,3-0,2-2,1-1,2-0,3-1,1-1,1-1,2-0,1-1,0-3,1-3,3-1,0-3,,2-0,,,0-2,2011,39,43,.476,16.0,99.4,101.3,-1.44,2011,Utah Jazz,0,2-2,2-2,2-0,,1-3,,,
30,Washington Wizards,1-3,2-2,,0-4,2-2,0-2,0-2,1-2,0-2,1-1,1-3,0-2,0-2,0-4,1-2,1-1,2-1,0-3,0-4,2-2,0-2,1-1,1-1,0-2,,2-2,2-0,,,2011,23,59,.280,35.0,97.3,104.7,-7.30,2011,Washington Wizards,0,1-1,0-2,2-2,,0-2,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,1-2,,1-3,3-0,1-0,0-1,3-1,0-1,0-1,2-1,1-1,0-1,1-3,2-1,1-0,4-0,1-2,3-0,0-3,1-1,1-1,1-0,0-1,,3-1,1-0,,3-0,2012,40,26,.606,6.0,96.6,93.2,2.67,2012,Atlanta Hawks,1,0-1,1-0,4-0,,1-0,,,
1,Boston Celtics,2-1,,,1-3,2-1,0-2,0-1,1-2,1-0,1-0,2-2,1-0,0-2,3-1,3-0,1-0,3-0,2-2,3-0,1-2,0-1,1-0,0-1,0-1,,2-2,1-0,,4-0,2012,39,27,.591,—,91.8,89.3,2.26,2012,Boston Celtics,1,1-0,0-1,3-0,,0-2,,,
2,Charlotte Bobcats,0-4,0-3,,0-3,0-3,0-1,0-1,0-4,1-0,0-2,0-3,0-1,0-1,0-3,1-2,0-2,0-4,1-3,1-3,0-3,0-1,0-1,0-1,0-1,,2-1,0-1,,0-4,2012,7,59,.106,39.0,87.0,100.9,-13.96,2012,Charlotte Bobcats,0,0-1,1-1,,,0-1,,,
3,Chicago Bulls,3-1,3-1,,,3-0,1-0,0-1,4-0,0-1,0-1,2-1,1-0,1-0,2-2,4-0,1-0,2-1,3-1,2-1,2-1,1-0,0-1,2-0,1-0,,3-0,1-0,,2-1,2012,50,16,.758,—,96.3,88.2,7.43,2012,Chicago Bulls,1,1-1,2-0,3-0,,0-1,,,
4,Cleveland Cavaliers,0-3,1-2,,0-3,,1-0,1-0,2-2,0-1,1-0,1-3,1-0,0-1,0-3,0-4,1-0,2-2,2-2,0-3,0-3,1-1,0-1,1-0,0-2,,1-3,0-2,,1-2,2012,21,45,.318,29.0,93.0,100.2,-7.34,2012,Cleveland Cavaliers,0,0-1,0-1,3-0,,1-0,,,
5,Dallas Mavericks,0-1,2-0,,0-1,0-1,,3-1,1-0,2-1,3-0,0-1,1-2,0-4,0-2,1-0,1-2,0-1,1-1,1-0,1-0,3-1,2-1,2-1,2-2,,1-0,3-1,,1-0,2012,36,30,.545,14.0,95.8,94.8,1.78,2012,Dallas Mavericks,1,1-2,2-1,1-0,,1-3,,,
6,Denver Nuggets,1-0,1-0,,1-0,0-1,1-3,,1-0,1-2,3-1,1-0,1-3,1-3,1-0,2-0,3-1,1-0,1-0,2-0,1-0,3-0,1-2,3-0,1-2,,1-1,1-2,,1-0,2012,38,28,.576,9.0,104.1,101.2,3.16,2012,Denver Nuggets,1,0-3,2-2,1-0,,1-2,,,
7,Detroit Pistons,1-3,2-1,,0-4,2-2,0-1,0-1,,0-1,0-1,1-2,0-1,1-0,0-3,1-3,0-2,2-1,0-3,2-1,1-3,0-1,1-0,2-0,0-1,,2-1,0-1,,2-1,2012,25,41,.379,25.0,90.9,95.7,-5.19,2012,Detroit Pistons,0,0-2,1-0,4-0,,0-1,,,
8,Golden State Warriors,1-0,0-1,,1-0,1-0,1-2,2-1,1-0,,1-2,0-2,2-2,0-4,1-0,0-1,2-1,0-2,1-0,0-1,0-2,2-1,1-3,3-1,0-3,,0-1,1-3,,1-0,2012,23,43,.348,18.0,97.8,101.2,-2.79,2012,Golden State Warriors,0,0-4,1-2,0-1,,0-3,,,
