,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Midwest Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Pacific Division,0,,,,,,,,
0,Atlanta Hawks,,2-2,2-2,3-1,3-1,0-2,2-0,1-3,2-0,1-1,1-3,1-1,1-1,3-1,1-3,0-2,2-1,1-3,1-3,1-3,1-1,1-1,0-2,0-2,0-2,0-4,1-1,,0-3,2002,33,49,.402,17.0,94.0,98.3,-4.41,2002,Atlanta Hawks,0,2-0,,,,,,,
1,Boston Celtics,2-2,,2-1,2-2,4-0,0-2,2-0,2-2,1-1,0-2,3-0,2-0,2-0,3-1,1-3,1-1,3-1,4-0,3-1,1-3,1-1,1-1,0-2,0-2,1-1,2-2,1-1,,3-1,2002,49,33,.598,3.0,96.4,94.1,1.75,2002,Boston Celtics,1,2-0,,,,,,,
2,Charlotte Hornets,2-2,1-2,,4-0,3-1,0-2,2-0,1-3,2-0,1-1,3-1,1-1,0-2,3-0,2-2,0-2,1-3,2-2,3-1,1-3,2-0,1-1,0-2,1-1,1-1,2-2,1-1,,3-1,2002,44,38,.537,6.0,93.9,92.9,0.57,2002,Charlotte Hornets,1,1-1,,,,,,,
3,Chicago Bulls,1-3,2-2,0-4,,1-3,0-2,0-2,1-3,1-1,2-0,0-4,0-2,2-0,1-3,2-2,0-2,0-4,3-1,0-3,1-2,1-1,0-2,0-2,0-2,1-1,0-4,0-2,,1-3,2002,21,61,.256,29.0,89.5,98.0,-8.52,2002,Chicago Bulls,0,1-1,,,,,,,
4,Cleveland Cavaliers,1-3,0-4,1-3,3-1,,0-2,1-1,1-3,1-1,2-0,2-2,0-2,0-2,3-1,3-1,2-0,1-3,2-2,1-3,0-3,1-1,0-2,0-2,1-1,0-2,1-3,0-2,,1-2,2002,29,53,.354,21.0,95.3,98.6,-3.52,2002,Cleveland Cavaliers,0,1-1,,,,,,,
5,Dallas Mavericks,2-0,2-0,2-0,2-0,2-0,,4-0,1-1,4-0,2-2,2-0,2-2,1-3,1-1,2-0,2-2,2-0,1-1,1-1,1-1,3-1,2-2,3-1,1-3,3-1,1-1,3-1,,1-1,2002,57,25,.695,1.0,105.2,101.0,4.41,2002,Dallas Mavericks,1,4-0,,,,,,,
6,Denver Nuggets,0-2,0-2,0-2,2-0,1-1,0-4,,0-2,1-3,2-2,0-2,1-3,1-3,0-2,0-2,2-2,1-1,2-0,0-2,1-1,3-1,2-2,0-4,0-4,3-1,1-1,1-3,,0-2,2002,27,55,.329,31.0,92.2,98.0,-5.19,2002,Denver Nuggets,0,3-1,,,,,,,
7,Detroit Pistons,3-1,2-2,3-1,3-1,3-1,1-1,2-0,,1-1,1-1,3-1,1-1,0-2,2-1,2-2,1-1,3-1,3-1,2-2,2-1,1-1,0-2,0-2,0-2,1-1,3-1,1-1,,4-0,2002,50,32,.610,—,94.3,92.2,1.69,2002,Detroit Pistons,1,2-0,,,,,,,
8,Golden State Warriors,0-2,1-1,0-2,1-1,1-1,0-4,3-1,1-1,,1-3,0-2,2-2,1-3,0-2,0-2,1-3,1-1,1-1,0-2,1-1,0-4,2-2,0-4,0-4,0-4,0-2,0-4,,1-1,2002,21,61,.256,40.0,97.7,103.1,-4.80,2002,Golden State Warriors,0,3-1,,,,,,,
9,Houston Rockets,1-1,2-0,1-1,0-2,0-2,2-2,2-2,1-1,3-1,,0-2,1-3,0-4,0-2,1-1,2-2,0-2,1-1,0-2,1-1,2-2,1-3,0-4,0-4,2-2,1-1,2-2,,1-1,2002,28,54,.341,30.0,92.3,97.2,-4.31,2002,Houston Rockets,0,1-3,,,,,,,
10,Indiana Pacers,3-1,0-3,1-3,4-0,2-2,0-2,2-0,1-3,2-0,2-0,,1-1,0-2,2-2,1-3,1-1,1-3,2-1,3-1,3-1,1-1,1-1,2-0,1-1,0-2,1-3,1-1,,3-1,2002,42,40,.512,8.0,96.8,96.5,-0.07,2002,Indiana Pacers,1,1-1,,,,,,,
11,Los Angeles Clippers,1-1,0-2,1-1,2-0,2-0,2-2,3-1,1-1,2-2,3-1,1-1,,1-3,2-0,1-1,2-2,0-2,2-0,1-1,0-2,3-1,1-3,1-3,1-3,1-3,1-1,0-4,,1-1,2002,39,43,.476,22.0,95.7,96.1,-0.09,2002,Los Angeles Clippers,0,3-1,,,,,,,
12,Los Angeles Lakers,1-1,0-2,2-0,0-2,2-0,3-1,3-1,2-0,3-1,4-0,2-0,3-1,,1-1,2-0,2-2,1-1,2-0,2-0,1-1,2-2,2-2,3-1,3-1,3-1,1-1,3-1,,2-0,2002,58,24,.707,3.0,101.3,94.1,7.15,2002,Los Angeles Lakers,1,3-1,,,,,,,
13,Memphis Grizzlies,0-2,0-2,1-1,1-1,1-1,0-4,1-3,0-2,1-3,3-1,1-1,1-3,1-3,1-1,0-2,0-4,0-2,1-1,0-2,2-0,1-3,2-2,1-3,0-4,0-4,1-1,3-1,,0-2,2002,23,59,.280,35.0,89.9,97.3,-6.74,2002,Memphis Grizzlies,0,,,,,,,,
